input num : 0.0, bin_trans num : 0
input num : -0.77216, bin_trans num : -0.765625
input num : -0.77411, bin_trans num : -0.7734375
input num : -0.77605, bin_trans num : -0.7734375
input num : -0.77798, bin_trans num : -0.7734375
input num : -0.77991, bin_trans num : -0.7734375
input num : -0.78183, bin_trans num : -0.78125
input num : -0.78374, bin_trans num : -0.78125
input num : -0.78565, bin_trans num : -0.78125
input num : -0.78755, bin_trans num : -0.78125
input num : -0.78944, bin_trans num : -0.7890625
input num : -0.79132, bin_trans num : -0.7890625
input num : -0.7932, bin_trans num : -0.7890625
input num : -0.79507, bin_trans num : -0.7890625
input num : -0.79693, bin_trans num : -0.796875
input num : -0.79878, bin_trans num : -0.796875
input num : -0.80062, bin_trans num : -0.796875
input num : -0.80246, bin_trans num : -0.796875
input num : -0.80429, bin_trans num : -0.796875
input num : -0.80612, bin_trans num : -0.8046875
input num : -0.80793, bin_trans num : -0.8046875
input num : -0.80974, bin_trans num : -0.8046875
input num : -0.81154, bin_trans num : -0.8046875
input num : -0.81333, bin_trans num : -0.8125
input num : -0.81512, bin_trans num : -0.8125
input num : -0.81689, bin_trans num : -0.8125
input num : -0.81866, bin_trans num : -0.8125
input num : -0.82042, bin_trans num : -0.8203125
input num : -0.82218, bin_trans num : -0.8203125
input num : -0.82392, bin_trans num : -0.8203125
input num : -0.82566, bin_trans num : -0.8203125
input num : -0.82739, bin_trans num : -0.8203125
input num : -0.82911, bin_trans num : -0.828125
input num : -0.83083, bin_trans num : -0.828125
input num : -0.83254, bin_trans num : -0.828125
input num : -0.83423, bin_trans num : -0.828125
input num : -0.83593, bin_trans num : -0.828125
input num : -0.83761, bin_trans num : -0.8359375
input num : -0.83928, bin_trans num : -0.8359375
input num : -0.84095, bin_trans num : -0.8359375
input num : -0.84261, bin_trans num : -0.8359375
input num : -0.84426, bin_trans num : -0.84375
input num : -0.84591, bin_trans num : -0.84375
input num : -0.84754, bin_trans num : -0.84375
input num : -0.84917, bin_trans num : -0.84375
input num : -0.85079, bin_trans num : -0.84375
input num : -0.8524, bin_trans num : -0.8515625
input num : -0.854, bin_trans num : -0.8515625
input num : -0.8556, bin_trans num : -0.8515625
input num : -0.85718, bin_trans num : -0.8515625
input num : -0.85876, bin_trans num : -0.8515625
input num : -0.86033, bin_trans num : -0.859375
input num : -0.8619, bin_trans num : -0.859375
input num : -0.86345, bin_trans num : -0.859375
input num : -0.865, bin_trans num : -0.859375
input num : -0.86654, bin_trans num : -0.859375
input num : -0.86807, bin_trans num : -0.8671875
input num : -0.86959, bin_trans num : -0.8671875
input num : -0.8711, bin_trans num : -0.8671875
input num : -0.87261, bin_trans num : -0.8671875
input num : -0.87411, bin_trans num : -0.8671875
input num : -0.87559, bin_trans num : -0.875
input num : -0.87708, bin_trans num : -0.875
input num : -0.87855, bin_trans num : -0.875
input num : -0.88001, bin_trans num : -0.875
input num : -0.88147, bin_trans num : -0.875
input num : -0.88292, bin_trans num : -0.8828125
input num : -0.88435, bin_trans num : -0.8828125
input num : -0.88579, bin_trans num : -0.8828125
input num : -0.88721, bin_trans num : -0.8828125
input num : -0.88862, bin_trans num : -0.8828125
input num : -0.89003, bin_trans num : -0.8828125
input num : -0.89142, bin_trans num : -0.890625
input num : -0.89281, bin_trans num : -0.890625
input num : -0.89419, bin_trans num : -0.890625
input num : -0.89557, bin_trans num : -0.890625
input num : -0.89693, bin_trans num : -0.890625
input num : -0.89828, bin_trans num : -0.890625
input num : -0.89963, bin_trans num : -0.8984375
input num : -0.90097, bin_trans num : -0.8984375
input num : -0.9023, bin_trans num : -0.8984375
input num : -0.90362, bin_trans num : -0.8984375
input num : -0.90493, bin_trans num : -0.8984375
input num : -0.90624, bin_trans num : -0.8984375
input num : -0.90753, bin_trans num : -0.90625
input num : -0.90882, bin_trans num : -0.90625
input num : -0.9101, bin_trans num : -0.90625
input num : -0.91137, bin_trans num : -0.90625
input num : -0.91263, bin_trans num : -0.90625
input num : -0.91388, bin_trans num : -0.90625
input num : -0.91512, bin_trans num : -0.9140625
input num : -0.91636, bin_trans num : -0.9140625
input num : -0.91758, bin_trans num : -0.9140625
input num : -0.9188, bin_trans num : -0.9140625
input num : -0.92001, bin_trans num : -0.9140625
input num : -0.92121, bin_trans num : -0.9140625
input num : -0.9224, bin_trans num : -0.921875
input num : -0.92359, bin_trans num : -0.921875
input num : -0.92476, bin_trans num : -0.921875
input num : -0.92592, bin_trans num : -0.921875
input num : -0.92708, bin_trans num : -0.921875
input num : -0.92823, bin_trans num : -0.921875
input num : -0.92937, bin_trans num : -0.921875
input num : -0.9305, bin_trans num : -0.9296875
input num : -0.93162, bin_trans num : -0.9296875
input num : -0.93273, bin_trans num : -0.9296875
input num : -0.93384, bin_trans num : -0.9296875
input num : -0.93493, bin_trans num : -0.9296875
input num : -0.93602, bin_trans num : -0.9296875
input num : -0.9371, bin_trans num : -0.9296875
input num : -0.93816, bin_trans num : -0.9375
input num : -0.93922, bin_trans num : -0.9375
input num : -0.94028, bin_trans num : -0.9375
input num : -0.94132, bin_trans num : -0.9375
input num : -0.94235, bin_trans num : -0.9375
input num : -0.94337, bin_trans num : -0.9375
input num : -0.94439, bin_trans num : -0.9375
input num : -0.9454, bin_trans num : -0.9453125
input num : -0.94639, bin_trans num : -0.9453125
input num : -0.94738, bin_trans num : -0.9453125
input num : -0.94836, bin_trans num : -0.9453125
input num : -0.94933, bin_trans num : -0.9453125
input num : -0.95029, bin_trans num : -0.9453125
input num : -0.95125, bin_trans num : -0.9453125
input num : -0.95219, bin_trans num : -0.9453125
input num : -0.95312, bin_trans num : -0.9453125
input num : -0.95405, bin_trans num : -0.953125
input num : -0.95497, bin_trans num : -0.953125
input num : -0.95587, bin_trans num : -0.953125
input num : -0.95677, bin_trans num : -0.953125
input num : -0.95766, bin_trans num : -0.953125
input num : -0.95854, bin_trans num : -0.953125
input num : -0.95941, bin_trans num : -0.953125
input num : -0.96028, bin_trans num : -0.953125
input num : -0.96113, bin_trans num : -0.9609375
input num : -0.96197, bin_trans num : -0.9609375
input num : -0.96281, bin_trans num : -0.9609375
input num : -0.96364, bin_trans num : -0.9609375
input num : -0.96445, bin_trans num : -0.9609375
input num : -0.96526, bin_trans num : -0.9609375
input num : -0.96606, bin_trans num : -0.9609375
input num : -0.96685, bin_trans num : -0.9609375
input num : -0.96763, bin_trans num : -0.9609375
input num : -0.9684, bin_trans num : -0.9609375
input num : -0.96916, bin_trans num : -0.96875
input num : -0.96991, bin_trans num : -0.96875
input num : -0.97066, bin_trans num : -0.96875
input num : -0.97139, bin_trans num : -0.96875
input num : -0.97212, bin_trans num : -0.96875
input num : -0.97283, bin_trans num : -0.96875
input num : -0.97354, bin_trans num : -0.96875
